Innings,Venue,Start_Date,End_Date,Player_Name,Team,Total_Impact,Runs,Impact_Runs,Batting_Impact,Bowl,Impact_Wickets,Bowling_Impact,Balls_Faced,Wickets,Runs_Conceded
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Travis Head,SRH,106.55,89,93.49,106.55,-,-,0,30,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Abhishek Sharma,SRH,82.3,75,76.95,82.3,-,-,0,28,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Vijayakanth Viyaskanth,SRH,37.81,0,-,0,0/27,-,37.81,0,0,27
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Nicholas Pooran,LSG,34.9,48,42.63,34.9,-,-,0,26,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Ayush Badoni,LSG,33.71,55,48.13,39.08,0/19,-,- 5.37,30,0,19
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Pat Cummins,SRH,28.8,0,-,0,1/47,1.18,28.8,0,1,47
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Shahbaz Ahmed,SRH,24.25,0,-,0,0/9,-,24.25,0,0,9
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Jaydev Unadkat,SRH,7.16,0,-,0,0/19,-,7.16,0,0,19
57th Match (N),Hyderabad,08-May-2024,08-May-2024,T Natarajan,SRH,2.7,0,-,0,0/50,-,2.7,0,0,50
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Nitish Kumar Reddy,SRH,0,0,-,0,-,-,0,0,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Abdul Samad,SRH,0,0,-,0,-,-,0,0,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Sanvir Singh,SRH,0,0,-,0,-,-,0,0,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Deepak Hooda,LSG,0,0,-,0,-,-,0,0,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Heinrich Klaasen,SRH,0,0,-,0,-,-,0,0,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Krunal Pandya,LSG,- 3.07,24,12.43,- 3.07,-,-,0,21,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Krishnappa Gowtham,LSG,- 3.38,0,-,0,0/29,-,- 3.38,0,0,29
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Marcus Stoinis,LSG,- 8.77,3,- 2.01,- 8.77,-,-,0,5,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Ravi Bishnoi,LSG,- 10.42,0,-,0,0/34,-,- 10.42,0,0,34
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Quinton de Kock,LSG,- 11.84,2,- 4.31,- 11.84,-,-,0,5,0,0
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Naveen-ul-Haq,LSG,- 12.21,0,-,0,0/37,-,- 12.21,0,0,37
57th Match (N),Hyderabad,08-May-2024,08-May-2024,Yash Thakur,LSG,- 13.69,0,-,0,0/47,-,- 13.69,0,0,47
57th Match (N),Hyderabad,08-May-2024,08-May-2024,KL Rahul,LSG,- 25.93,29,3.2,- 25.93,-,-,0,33,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Virat Kohli,RCB,105.1,92,95.03,105.1,-,-,0,47,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Rajat Patidar,RCB,93.55,55,68.66,93.55,-,-,0,23,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Rilee Rossouw,PBKS,91.07,61,76.35,91.07,-,-,0,27,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Vidwath Kaverappa,PBKS,84.17,0,-,0,2/36,3.58,84.17,0,2,36
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Harshal Patel,PBKS,55.41,0,-,- 0.47,3/38,2.09,55.88,1,3,38
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Swapnil Singh,RCB,49.9,1,- 0.1,- 1.01,2/28,2.37,50.91,1,2,28
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Karn Sharma,RCB,49.49,0,-,0,2/36,2.55,49.49,0,2,36
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Shashank Singh,PBKS,37.33,37,38.94,37.33,-,-,0,19,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Lockie Ferguson,RCB,36.12,0,-,0,2/29,1.96,36.12,0,2,29
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Arshdeep Singh,PBKS,27.32,4,4,2.67,1/41,1.45,24.65,3,1,41
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Jonny Bairstow,PBKS,26.79,27,27.87,26.79,-,-,0,16,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Dinesh Karthik,RCB,25.83,18,19.44,25.83,-,-,0,7,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Cameron Green,RCB,25.17,46,38.21,29.98,0/16,-,- 4.8,27,0,16
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Will Jacks,RCB,23.51,12,12.41,12.65,0/5,-,10.87,7,0,5
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Mohammed Siraj,RCB,18.37,0,-,0,3/43,1.45,18.37,0,3,43
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Sam Curran,PBKS,17.04,22,21.24,9.36,1/50,1.35,7.67,16,1,50
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Liam Livingstone,PBKS,12.72,0,- 2.57,- 5.87,0/28,-,18.59,2,0,28
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Yash Dayal,RCB,5.68,0,-,0,0/22,-,5.68,0,0,22
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Ashutosh Sharma,PBKS,4.77,8,8.02,4.77,-,-,0,5,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Prabhsimran Singh,PBKS,4.01,6,5.37,4.01,-,-,0,4,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Faf du Plessis,RCB,3.26,9,7.11,3.26,-,-,0,7,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Jitesh Sharma,PBKS,0.78,5,3.12,0.78,-,-,0,4,0,0
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Rahul Chahar,PBKS,- 2.18,5,5,2.99,0/47,-,- 5.17,5,0,47
58th Match (N),Dharamsala,09-May-2024,09-May-2024,Mahipal Lomror,RCB,- 7.67,0,- 3.92,- 7.67,-,-,0,2,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Sai Sudharsan,GT,123.06,103,109.28,123.06,-,-,0,51,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Shubman Gill,GT,119.06,104,110,119.06,-,-,0,55,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Daryl Mitchell,CSK,80.86,63,77.21,85.7,0/52,-,- 4.84,34,0,52
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Tushar Deshpande,CSK,64.16,0,-,0,2/33,2.3,64.16,0,2,33
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Moeen Ali,CSK,58.29,56,61.38,58.29,-,-,0,36,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Mohit Sharma,GT,47.79,0,-,0,3/31,2.39,47.79,0,3,31
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Umesh Yadav,GT,46.93,0,-,0,1/20,1.61,46.93,0,1,20
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Shardul Thakur,CSK,41.33,3,3,0.38,0/25,-,40.95,4,0,25
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Sandeep Warrier,GT,23.03,0,-,0,1/28,1.03,23.03,0,1,28
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,MS Dhoni,CSK,22.03,26,26,22.03,-,-,0,11,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Rashid Khan,GT,20.13,0,-,0,2/38,1.1,20.13,0,2,38
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Shivam Dube,CSK,14.27,21,21.18,14.27,-,-,0,13,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Ravindra Jadeja,CSK,4.44,18,18.3,13.31,0/29,-,- 8.87,10,0,29
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,David Miller,GT,3.95,16,11.61,3.95,-,-,0,11,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Rahul Tewatia,GT,0,0,-,0,-,-,0,0,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Matthew Wade,GT,0,0,-,0,-,-,0,0,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Noor Ahmad,GT,- 2.24,0,-,0,0/25,-,- 2.24,0,0,25
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Rachin Ravindra,CSK,- 3.9,1,- 1.2,- 3.9,-,-,0,2,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,M Shahrukh Khan,GT,- 4.02,2,- 0.43,- 4.02,-,-,0,3,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Kartik Tyagi,GT,- 5.6,0,-,0,0/51,-,- 5.6,0,0,51
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Ruturaj Gaikwad,CSK,- 8.45,0,- 3.75,- 8.45,-,-,0,3,0,0
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Simarjeet Singh,CSK,- 9.95,0,-,0,0/60,-,- 9.95,0,0,60
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Mitchell Santner,CSK,- 12.03,0,-,- 1.73,0/31,-,- 10.3,2,0,31
59th Match (N),Ahmedabad,10-May-2024,10-May-2024,Ajinkya Rahane,CSK,- 13.12,1,- 5.53,- 13.12,-,-,0,5,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Andre Russell,KKR,96.49,24,25.91,30.8,2/34,3.4,65.69,14,2,34
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Varun Chakravarthy,KKR,79.63,0,-,0,2/17,2.23,79.63,0,2,17
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Venkatesh Iyer,KKR,65.55,42,50.08,65.55,-,-,0,21,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Ishan Kishan,MI,53.11,40,47.2,53.11,-,-,0,22,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Piyush Chawla,MI,48.23,1,1,0.51,2/28,2.53,47.72,2,2,28
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Jasprit Bumrah,MI,48.09,0,-,0,2/39,2.58,48.09,0,2,39
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Tilak Varma,MI,45.31,32,38.07,45.31,-,-,0,17,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Sunil Narine,KKR,34.26,0,- 0.73,- 1.93,1/21,1.06,36.19,1,1,21
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Nuwan Thushara,MI,33.58,0,-,0,1/31,1.77,33.58,0,1,31
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Naman Dhir,MI,33.37,17,23.9,33.37,-,-,0,6,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Nitish Rana,KKR,32.03,33,32.92,32.03,-,-,0,23,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Anshul Kamboj,MI,30.07,2,1.8,1.02,1/24,1.25,29.05,2,1,24
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Ramandeep Singh,KKR,23.91,17,19.23,23.91,-,-,0,8,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Rinku Singh,KKR,22.2,20,20.38,22.2,-,-,0,12,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Harshit Rana,KKR,20.03,0,-,0,2/34,1.68,20.03,0,2,34
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Vaibhav Arora,KKR,9.94,0,-,0,0/16,-,9.94,0,0,16
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Phil Salt,KKR,5.34,6,5.68,5.34,-,-,0,5,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Mitchell Starc,KKR,- 1.09,2,1.19,0.59,0/11,-,- 1.68,2,0,11
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Nehal Wadhera,MI,- 1.28,3,1.2,- 1.28,-,-,0,3,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Shreyas Iyer,KKR,- 4.57,7,2.95,- 4.57,-,-,0,10,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Hardik Pandya,MI,- 7.69,2,- 2.46,- 7.12,0/32,-,- 0.57,4,0,32
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Rohit Sharma,MI,- 8.69,19,7.88,- 8.69,-,-,0,24,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Tim David,MI,- 9.31,0,- 4.82,- 9.31,-,-,0,3,0,0
60th Match (N),Eden Gardens,11-May-2024,11-May-2024,Suryakumar Yadav,MI,- 9.6,11,1.4,- 9.6,-,-,0,14,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Simarjeet Singh,CSK,95.88,0,-,0,3/26,4.25,95.88,0,3,26
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Riyan Parag,RR,48.75,47,47.94,48.75,-,-,0,35,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Yuzvendra Chahal,RR,40.33,0,-,0,1/22,1.5,40.33,0,1,22
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Tushar Deshpande,CSK,37.48,0,-,0,2/30,1.71,37.48,0,2,30
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Ravichandran Ashwin,RR,37.03,1,0.44,- 0.22,2/35,2.47,37.25,1,2,35
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Rachin Ravindra,CSK,36.21,27,30.45,36.21,-,-,0,18,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Dhruv Jurel,RR,34.4,28,30.35,34.4,-,-,0,18,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Daryl Mitchell,CSK,31.29,22,25.52,31.29,-,-,0,13,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Ruturaj Gaikwad,CSK,28.64,42,38.97,28.64,-,-,0,41,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Nandre Burger,RR,26.17,0,-,0,1/21,1.33,26.17,0,1,21
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Yashasvi Jaiswal,RR,24.22,24,25.21,24.22,-,-,0,21,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Shivam Dube,CSK,22.8,18,19.85,22.8,-,-,0,11,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Sameer Rizvi,CSK,16.24,15,15.21,16.24,-,-,0,8,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Ravindra Jadeja,CSK,11.91,5,4.96,2.21,0/24,-,9.7,6,0,24
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Maheesh Theekshana,CSK,6.69,0,-,0,0/28,-,6.69,0,0,28
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Avesh Khan,RR,4.1,0,-,0,0/12,-,4.1,0,0,12
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Jos Buttler,RR,3.8,21,14.65,3.8,-,-,0,25,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Shardul Thakur,CSK,1.77,0,-,0,0/32,-,1.77,0,0,32
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Moeen Ali,CSK,0.2,10,7.72,0.2,-,-,0,13,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,MS Dhoni,CSK,0,0,-,0,-,-,0,0,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Trent Boult,RR,- 1.4,0,-,0,0/24,-,- 1.4,0,0,24
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Shubham Dubey,RR,- 2.87,0,- 1.55,- 2.87,-,-,0,1,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Sanju Samson,RR,- 4.36,15,7.35,- 4.36,-,-,0,19,0,0
61st Match (D/N),Chennai,12-May-2024,12-May-2024,Sandeep Sharma,RR,- 7.47,0,-,0,0/30,-,- 7.47,0,0,30
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Axar Patel,DC,92.54,57,75.82,87.21,0/24,-,5.33,39,0,24
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Rajat Patidar,RCB,70.95,52,59.79,70.95,-,-,0,32,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Cameron Green,RCB,48.93,32,28.56,25.57,1/19,0.59,23.36,24,1,19
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Khaleel Ahmed,DC,48.55,0,-,0,2/31,2.32,48.55,0,2,31
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Virat Kohli,RCB,47.01,27,33.8,47.01,-,-,0,13,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Rasikh Salam,DC,42.14,10,6.93,3.12,2/23,1.88,39.02,12,2,23
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Shai Hope,DC,39.71,29,37.21,39.71,-,-,0,23,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Mukesh Kumar,DC,39.2,3,3,1.48,1/23,1.71,37.72,7,1,23
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Yash Dayal,RCB,37.72,0,-,0,3/20,2.22,37.72,0,3,20
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Will Jacks,RCB,36.67,41,43.01,45.59,0/16,-,- 8.92,29,0,16
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Jake Fraser-McGurk,DC,36.5,21,28.05,36.5,-,-,0,8,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Swapnil Singh,RCB,28.2,0,- 0.87,- 1.57,1/9,1.55,29.77,1,1,9
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Lockie Ferguson,RCB,27.75,0,-,0,2/23,1.36,27.75,0,2,23
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Ishant Sharma,DC,26.89,0,-,0,1/31,1.7,26.89,4,1,31
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Mahipal Lomror,RCB,14.34,13,13.16,14.34,-,-,0,8,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Mohammed Siraj,RCB,8.48,0,-,0,1/33,0.76,8.48,0,1,33
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Kuldeep Yadav,DC,5.23,6,6,2.8,1/52,1.27,2.43,10,1,52
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Faf du Plessis,RCB,1.08,6,4.5,1.08,-,-,0,7,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Karn Sharma,RCB,0.92,6,5.91,6.15,0/19,-,- 5.23,4,0,19
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Kumar Kushagra,DC,0.02,2,1.45,0.02,-,-,0,3,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Tristan Stubbs,DC,- 0.83,3,2.01,- 0.83,-,-,0,4,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Abishek Porel,DC,- 0.97,2,1.26,- 0.97,-,-,0,3,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,David Warner,DC,- 1.5,1,0.2,- 1.5,-,-,0,2,0,0
62nd Match (N),Bengaluru,12-May-2024,12-May-2024,Dinesh Karthik,RCB,- 4.24,0,- 1.86,- 4.24,-,-,0,2,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Nicholas Pooran,LSG,117.21,61,90.73,117.21,-,-,0,27,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Tristan Stubbs,DC,102.57,57,64.35,81.06,1/4,0.88,21.5,25,1,4
64th Match (N),Delhi,14-May-2024,14-May-2024,Arshad Khan,LSG,96.78,58,70.13,76.82,1/45,1.89,19.97,33,1,45
64th Match (N),Delhi,14-May-2024,14-May-2024,Ishant Sharma,DC,90.41,0,-,0,3/34,4.22,90.41,0,3,34
64th Match (N),Delhi,14-May-2024,14-May-2024,Abishek Porel,DC,73.91,58,63.51,73.91,-,-,0,33,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Ravi Bishnoi,LSG,42.8,2,1.34,0.74,1/26,0.89,42.05,2,1,26
64th Match (N),Delhi,14-May-2024,14-May-2024,Mukesh Kumar,DC,32.91,0,-,0,1/33,1.34,32.91,0,1,33
64th Match (N),Delhi,14-May-2024,14-May-2024,Shai Hope,DC,32.49,38,35.91,32.49,-,-,0,27,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Naveen-ul-Haq,LSG,29.52,2,2.08,1.23,2/51,2.07,28.29,4,2,51
64th Match (N),Delhi,14-May-2024,14-May-2024,Mohsin Khan,LSG,28.9,0,-,0,0/29,-,28.9,0,0,29
64th Match (N),Delhi,14-May-2024,14-May-2024,Rishabh Pant,DC,22.31,33,28.69,22.31,-,-,0,23,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Kuldeep Yadav,DC,19.14,0,-,0,1/33,0.67,19.14,0,1,33
64th Match (N),Delhi,14-May-2024,14-May-2024,Axar Patel,DC,16.11,14,9.63,4.69,1/20,1.36,11.42,10,1,20
64th Match (N),Delhi,14-May-2024,14-May-2024,Yudhvir Singh,LSG,15.19,14,18.03,21.33,0/28,-,- 6.14,7,0,28
64th Match (N),Delhi,14-May-2024,14-May-2024,Quinton de Kock,LSG,12.16,12,12.89,12.16,-,-,0,8,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Krunal Pandya,LSG,9.21,18,14.64,4.22,0/20,-,4.98,18,0,20
64th Match (N),Delhi,14-May-2024,14-May-2024,Khaleel Ahmed,DC,9.19,0,-,0,1/22,0.59,9.19,0,1,22
64th Match (N),Delhi,14-May-2024,14-May-2024,KL Rahul,LSG,6.08,5,5.69,6.08,-,-,0,3,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Deepak Hooda,LSG,- 1.25,0,- 2.21,- 5.07,0/9,-,3.83,2,0,9
64th Match (N),Delhi,14-May-2024,14-May-2024,Rasikh Salam,DC,- 2.94,0,-,0,0/30,-,- 2.94,0,0,30
64th Match (N),Delhi,14-May-2024,14-May-2024,Gulbadin Naib,DC,- 3.43,0,-,0,0/12,-,- 3.43,0,0,12
64th Match (N),Delhi,14-May-2024,14-May-2024,Jake Fraser-McGurk,DC,- 4.38,0,- 1.69,- 4.38,-,-,0,2,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Ayush Badoni,LSG,- 4.67,6,2.82,- 4.67,-,-,0,9,0,0
64th Match (N),Delhi,14-May-2024,14-May-2024,Marcus Stoinis,LSG,- 4.81,5,0.67,- 4.81,-,-,0,7,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Sam Curran,PBKS,153.07,63,72.93,89.15,2/24,3.05,63.92,41,2,24
65th Match (N),Guwahati,15-May-2024,15-May-2024,Avesh Khan,RR,78.46,3,3.33,3.25,2/28,3.67,75.21,2,2,28
65th Match (N),Guwahati,15-May-2024,15-May-2024,Rahul Chahar,PBKS,58.04,0,-,0,2/26,2.46,58.04,0,2,26
65th Match (N),Guwahati,15-May-2024,15-May-2024,Riyan Parag,RR,54.85,48,53.35,54.85,-,-,0,34,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Yuzvendra Chahal,RR,52.55,0,-,0,2/31,3.04,52.55,0,2,31
65th Match (N),Guwahati,15-May-2024,15-May-2024,Harshal Patel,PBKS,48.71,0,-,0,2/28,2.08,48.71,0,2,28
65th Match (N),Guwahati,15-May-2024,15-May-2024,Nathan Ellis,PBKS,44.44,0,-,0,1/24,1.38,44.44,0,1,24
65th Match (N),Guwahati,15-May-2024,15-May-2024,Ravichandran Ashwin,RR,43,28,33.64,37.99,0/31,-,5,19,0,31
65th Match (N),Guwahati,15-May-2024,15-May-2024,Trent Boult,RR,37.35,12,12.01,12.62,1/27,1.57,24.72,9,1,27
65th Match (N),Guwahati,15-May-2024,15-May-2024,Rilee Rossouw,PBKS,36.04,22,26.83,36.04,-,-,0,13,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Arshdeep Singh,PBKS,21.29,0,-,0,1/31,0.81,21.29,0,1,31
65th Match (N),Guwahati,15-May-2024,15-May-2024,Jitesh Sharma,PBKS,18.28,22,21.01,18.28,-,-,0,20,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Sanju Samson,RR,15.52,18,17.7,15.52,-,-,0,15,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Ashutosh Sharma,PBKS,14.65,17,15.03,14.65,-,-,0,11,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Sandeep Sharma,RR,9.63,0,-,0,0/28,-,9.63,0,0,28
65th Match (N),Guwahati,15-May-2024,15-May-2024,Prabhsimran Singh,PBKS,8.58,6,6.93,8.58,-,-,0,4,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Yashasvi Jaiswal,RR,2.84,4,3.73,2.84,-,-,0,4,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Donovan Ferreira,RR,0.65,7,4.4,0.65,-,-,0,8,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Rovman Powell,RR,0.64,4,2.13,0.64,-,-,0,5,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Tom Kohler-Cadmore,RR,- 1.62,18,9.39,- 1.62,-,-,0,23,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Dhruv Jurel,RR,- 2.36,0,- 1.16,- 2.36,-,-,0,1,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Shashank Singh,PBKS,- 3.18,0,- 1.16,- 3.18,-,-,0,2,0,0
65th Match (N),Guwahati,15-May-2024,15-May-2024,Harpreet Brar,PBKS,- 3.25,0,-,0,0/10,-,- 3.25,0,0,10
65th Match (N),Guwahati,15-May-2024,15-May-2024,Jonny Bairstow,PBKS,- 5.01,14,8.84,- 5.01,-,-,0,22,0,0
67th Match (N),Wankhede,17-May-2024,17-May-2024,Nicholas Pooran,LSG,123.83,75,89.11,123.83,-,-,0,29,0,0
67th Match (N),Wankhede,17-May-2024,17-May-2024,Nuwan Thushara,MI,90.37,0,-,0,3/28,3.7,90.37,0,3,28
67th Match (N),Wankhede,17-May-2024,17-May-2024,Rohit Sharma,MI,86.59,68,77.43,86.59,-,-,0,38,0,0
67th Match (N),Wankhede,17-May-2024,17-May-2024,Piyush Chawla,MI,84.2,0,-,0,3/29,3.61,84.2,0,3,29
67th Match (N),Wankhede,17-May-2024,17-May-2024,Krunal Pandya,LSG,72.22,12,11.52,11.95,1/29,2,60.27,7,1,29
67th Match (N),Wankhede,17-May-2024,17-May-2024,Naman Dhir,MI,41.93,62,62.69,54.98,0/17,-,- 13.05,28,0,17
67th Match (N),Wankhede,17-May-2024,17-May-2024,KL Rahul,LSG,34.94,55,47.38,34.94,-,-,0,41,0,0
67th Match (N),Wankhede,17-May-2024,17-May-2024,Ravi Bishnoi,LSG,34.61,0,-,0,2/37,1.79,34.61,0,2,37
67th Match (N),Wankhede,17-May-2024,17-May-2024,Ayush Badoni,LSG,28.27,22,23.45,28.27,-,-,0,10,0,0
67th Match (N),Wankhede,17-May-2024,17-May-2024,Naveen-ul-Haq,LSG,27.42,0,-,0,2/50,1.86,27.42,0,2,50
