Innings,Venue,Start Date,End Date,Team,Player 1,Player 2,Player 1 Runs,Player 1 Balls,Partnership Runs,Partnership Balls,Player 2 Runs,Player 2 Balls
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,AT Rayudu,CJ Anderson,30,10,81,31,49,21
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,CJ Anderson,AP Tare,0,0,6,1,6,1
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,G Gambhir,RV Uthappa,1,3,2,8,1,5
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,RV Uthappa,MK Pandey,41,25,65,42,21,17
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,Shakib Al Hasan,MK Pandey,0,0,0,3,0,3
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,20,17,41,33,18,16
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,YK Pathan,RN ten Doeschate,0,1,0,1,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,RN ten Doeschate,SA Yadav,16,7,37,21,20,14
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,RN ten Doeschate,PP Chawla,1,3,2,4,1,1
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,PP Chawla,SP Narine,12,7,12,7,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,PP Chawla,M Morkel,4,1,4,1,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,V Sehwag,M Vohra,2,3,5,7,2,4
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,WP Saha,M Vohra,15,13,40,28,24,15
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,WP Saha,GJ Maxwell,2,3,10,12,6,9
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,WP Saha,DA Miller,18,15,25,25,6,10
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,DA Miller,AR Patel,2,2,2,2,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,GJ Bailey,AR Patel,3,5,5,7,2,2
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,GJ Bailey,R Dhawan,16,9,30,24,14,15
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,MG Johnson,GJ Bailey,10,7,17,10,7,3
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,MG Johnson,Karanveer Singh,0,4,1,5,1,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,MEK Hussey,LMP Simmons,39,33,76,58,35,25
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,LMP Simmons,CJ Anderson,3,5,23,15,20,10
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,LMP Simmons,RG Sharma,29,14,44,27,15,13
