Over_ID,Innings,Venue,Start_Date,End_Date,Team_Name,Overs,Team_Runs,Team_Wickets,Team_Total_Runs,Team_Total_Wickets
1,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,1,3,0,3,0
2,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,2,18,0,21,0
3,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,3,6,0,27,0
4,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,4,23,0,50,0
5,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,5,10,0,60,0
6,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,6,1,1,61,1
7,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,7,7,0,68,1
8,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,8,5,0,73,1
9,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,9,4,0,77,1
10,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,10,10,0,87,1
11,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,11,15,0,102,1
12,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,12,10,0,112,1
13,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,13,12,1,124,2
14,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,14,6,0,130,2
15,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,15,24,0,154,2
16,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,16,4,0,158,2
17,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,17,14,0,172,2
18,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,18,7,1,179,3
19,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,19,21,0,200,3
20,1st match (N),Bengaluru,18-April-2008,18-April-2008,KKR,20,22,0,222,3
21,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,1,4,0,4,0
22,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,2,5,1,9,1
23,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,3,3,1,12,2
24,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,4,4,0,16,2
25,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,5,8,1,24,3
26,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,6,2,1,26,4
27,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,7,7,0,33,4
28,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,8,5,1,38,5
29,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,9,5,2,43,7
30,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,10,8,0,51,7
31,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,11,5,0,56,7
32,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,12,3,1,59,8
33,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,13,11,0,70,8
34,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,14,7,1,77,9
35,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,15,4,0,81,9
36,1st match (N),Bengaluru,18-April-2008,18-April-2008,RCB,16,1,1,82,10
37,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,1,5,0,5,0
38,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,2,15,0,20,0
39,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,3,7,1,27,1
40,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,4,6,0,33,1
41,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,5,9,0,42,1
42,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,6,11,0,53,1
43,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,7,9,1,62,2
44,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,8,8,1,70,3
45,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,9,13,0,83,3
46,2nd match (D/N),Mohali,19-April-2008,19-April-2008,CSK,10,5,0,88,3
