Innings,Venue,Start_Date,End_Date,Team,Player1,Player2,Player1_Runs,Player1_Balls,Partnership_Runs,Partnership_Balls,Player2_Runs,Player2_Balls
25th Match (N),Wankhede,11-April-2024,11-April-2024,Stats,RG Sharma,Ishan Kishan,29,19,101,53,69,34
25th Match (N),Wankhede,11-April-2024,11-April-2024,Stats,RG Sharma,SA Yadav,9,5,38,15,29,10
25th Match (N),Wankhede,11-April-2024,11-April-2024,Stats,SA Yadav,HH Pandya,23,9,37,13,14,4
25th Match (N),Wankhede,11-April-2024,11-April-2024,Stats,HH Pandya,NT Tilak Varma,7,2,23,12,16,10
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,Q de Kock,KL Rahul,19,13,28,17,9,4
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,KL Rahul,D Padikkal,7,3,13,9,3,6
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,MP Stoinis,KL Rahul,8,10,25,19,16,9
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,KL Rahul,N Pooran,0,0,0,1,0,1
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,KL Rahul,DJ Hooda,7,6,11,11,4,5
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,DJ Hooda,A Badoni,6,8,12,14,5,6
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,KH Pandya,A Badoni,3,4,5,7,2,3
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,A Badoni,Arshad Khan,48,26,73,42,20,16
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,DA Warner,PP Shaw,8,9,24,21,16,12
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,PP Shaw,J Fraser-McGurk,16,10,39,21,17,11
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,RR Pant,J Fraser-McGurk,37,22,77,46,38,24
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,T Stubbs,RR Pant,2,3,6,5,4,2
26th Match (N),Lucknow,12-April-2024,12-April-2024,Stats,SD Hope,T Stubbs,11,10,24,16,13,6
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,JM Bairstow,A Taide,9,10,27,22,15,12
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,JM Bairstow,Prabhsimran Singh,3,3,14,17,10,14
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,JM Bairstow,SM Curran,3,6,6,9,3,3
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,SM Curran,JM Sharma,3,7,5,9,2,2
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,Shashank Singh,JM Sharma,9,9,18,16,8,7
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,LS Livingstone,JM Sharma,14,9,33,24,19,15
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,LS Livingstone,AR Sharma,7,5,19,11,9,6
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,AR Sharma,Harpreet Brar,22,10,25,13,3,3
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,TK Kotian,YBK Jaiswal,24,31,56,50,29,19
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,SV Samson,YBK Jaiswal,16,11,26,20,10,9
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,SV Samson,R Parag,2,3,7,10,5,7
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,R Parag,DC Jurel,18,11,24,20,6,9
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,SO Hetmyer,DC Jurel,2,2,2,4,0,2
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,SO Hetmyer,R Powell,10,2,21,7,11,5
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,KA Maharaj,SO Hetmyer,1,2,2,3,1,1
27th Match (N),Mullanpur,13-April-2024,13-April-2024,Stats,TA Boult,SO Hetmyer,0,0,14,5,14,5
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,Q de Kock,KL Rahul,10,8,19,12,7,4
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,KL Rahul,DJ Hooda,11,7,20,17,8,10
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,KL Rahul,A Badoni,21,16,39,34,18,18
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,MP Stoinis,A Badoni,10,5,17,8,7,3
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,N Pooran,A Badoni,10,12,16,18,4,6
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,KH Pandya,N Pooran,7,7,44,27,35,20
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,KH Pandya,Arshad Khan,0,1,6,5,5,4
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,SP Narine,PD Salt,6,6,22,11,6,5
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,PD Salt,A Raghuvanshi,13,4,20,10,7,6
28th Match (D/N),Eden Gardens,14-April-2024,14-April-2024,Stats,SS Iyer,PD Salt,38,38,120,76,70,38
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,AM Rahane,R Ravindra,5,8,8,10,2,2
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,R Ravindra,RD Gaikwad,19,14,52,37,32,23
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,S Dube,RD Gaikwad,50,28,90,45,37,17
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,DJ Mitchell,S Dube,17,14,36,24,16,10
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,MS Dhoni,S Dube,20,4,20,4,0,0
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,RG Sharma,Ishan Kishan,47,28,70,43,23,15
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,RG Sharma,SA Yadav,0,0,0,2,0,2
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,RG Sharma,NT Tilak Varma,29,18,60,38,31,20
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,RG Sharma,HH Pandya,2,4,4,10,2,6
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,RG Sharma,TH David,0,1,14,6,13,5
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,RG Sharma,R Shepherd,8,4,9,6,1,2
29th Match (N),Wankhede,14-April-2024,14-April-2024,Stats,Mohammad Nabi,RG Sharma,4,7,29,15,19,8
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,TM Head,Abhishek Sharma,71,27,108,49,34,22
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,H Klaasen,TM Head,21,12,57,26,31,14
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,H Klaasen,AK Markram,46,19,66,27,16,8
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,AK Markram,Abdul Samad,16,9,56,19,37,10
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,F du Plessis,V Kohli,38,18,80,38,42,20
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,F du Plessis,WG Jacks,13,6,20,10,7,4
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,F du Plessis,RM Patidar,1,1,11,6,9,5
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,F du Plessis,SD Chauhan,10,3,10,3,0,0
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,KD Karthik,SD Chauhan,1,2,1,3,0,1
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,KD Karthik,MK Lomror,34,14,59,25,19,11
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,KD Karthik,Anuj Rawat,48,19,63,28,8,9
30th Match (N),Bengaluru,15-April-2024,15-April-2024,Stats,V Vyshak,Anuj Rawat,1,2,18,7,17,5
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,SP Narine,PD Salt,7,8,21,21,10,13
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,SP Narine,A Raghuvanshi,49,25,85,43,30,18
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,SP Narine,SS Iyer,15,7,27,14,11,7
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,SP Narine,AD Russell,29,9,51,19,13,10
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,SP Narine,RK Singh,9,7,11,8,1,1
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,RK Singh,VR Iyer,12,5,20,11,8,6
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,RK Singh,Ramandeep Singh,7,3,8,4,1,1
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,YBK Jaiswal,2,2,22,11,19,9
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,SV Samson,11,7,25,15,12,8
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,R Parag,11,8,50,22,34,14
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,DC Jurel,1,1,3,5,2,4
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,R Ashwin,JC Buttler,8,11,21,21,12,10
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,SO Hetmyer,0,0,0,1,0,1
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,R Powell,30,14,57,27,26,13
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,TA Boult,JC Buttler,0,1,8,4,7,3
31st Match (N),Eden Gardens,16-April-2024,16-April-2024,Stats,JC Buttler,Avesh Khan,33,15,38,15,0,0
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,WP Saha,Shubman Gill,1,5,11,11,8,6
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,WP Saha,B Sai Sudharsan,1,5,17,13,12,8
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,DA Miller,B Sai Sudharsan,0,1,0,2,0,1
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,DA Miller,A Manohar,2,5,2,5,0,0
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,R Tewatia,A Manohar,7,8,17,22,8,14
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,R Tewatia,M Shahrukh Khan,0,0,1,1,0,1
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,R Tewatia,Rashid Khan,3,7,18,16,15,9
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,MM Sharma,Rashid Khan,2,14,12,22,7,8
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,Rashid Khan,Noor Ahmad,9,7,10,13,1,6
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,SH Johnson,Noor Ahmad,1,1,1,2,0,1
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,PP Shaw,J Fraser-McGurk,1,2,25,12,20,10
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,PP Shaw,Abishek Porel,6,4,6,4,0,0
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,SD Hope,Abishek Porel,18,7,34,14,15,7
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,SD Hope,RR Pant,1,3,2,4,1,1
32nd Match (N),Ahmedabad,17-April-2024,17-April-2024,Stats,RR Pant,Sumit Kumar,15,10,25,19,9,9
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,RG Sharma,Ishan Kishan,10,5,18,13,8,8
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,RG Sharma,SA Yadav,26,20,81,57,54,37
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,SA Yadav,NT Tilak Varma,24,16,49,28,23,12
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,HH Pandya,NT Tilak Varma,10,6,19,10,9,4
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,TH David,NT Tilak Varma,14,7,23,8,1,1
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,R Shepherd,NT Tilak Varma,1,2,2,3,1,1
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,Mohammad Nabi,NT Tilak Varma,0,1,0,1,0,0
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,SM Curran,Prabhsimran Singh,4,2,10,3,0,1
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,RR Rossouw,SM Curran,1,3,3,7,2,4
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,LS Livingstone,SM Curran,1,1,1,2,0,1
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,Harpreet Singh,LS Livingstone,0,0,0,1,0,1
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,Harpreet Singh,Shashank Singh,13,15,35,28,20,13
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,Shashank Singh,JM Sharma,16,6,28,15,9,9
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,Shashank Singh,AR Sharma,5,6,34,17,29,11
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,AR Sharma,Harpreet Brar,32,17,57,32,17,15
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,HV Patel,Harpreet Brar,1,4,6,9,4,5
33rd Match (N),Mullanpur,18-April-2024,18-April-2024,Stats,HV Patel,K Rabada,0,0,9,3,8,3
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,AM Rahane,R Ravindra,4,6,4,7,0,1
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,AM Rahane,RD Gaikwad,12,6,29,19,17,13
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,RA Jadeja,AM Rahane,15,11,35,23,20,12
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,RA Jadeja,S Dube,15,10,19,18,3,8
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,RA Jadeja,Sameer Rizvi,2,2,3,7,1,5
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,MM Ali,RA Jadeja,30,20,51,33,21,13
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,MS Dhoni,RA Jadeja,28,9,35,13,4,4
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,Q de Kock,KL Rahul,54,43,134,90,73,47
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,KL Rahul,N Pooran,9,6,27,13,17,7
34th Match (N),Lucknow,19-April-2024,19-April-2024,Stats,MP Stoinis,N Pooran,8,7,19,12,6,5
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,TM Head,Abhishek Sharma,84,26,131,38,46,12
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,TM Head,AK Markram,1,1,2,4,1,3
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,H Klaasen,TM Head,15,7,21,12,4,5
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,H Klaasen,K Nitish Kumar Reddy,0,1,0,1,0,0
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,Shahbaz Ahmed,K Nitish Kumar Reddy,29,20,67,47,37,27
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,Shahbaz Ahmed,Abdul Samad,15,5,29,13,13,8
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,PJ Cummins,Shahbaz Ahmed,1,1,6,3,5,2
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,Washington Sundar,Shahbaz Ahmed,0,0,10,2,10,2
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,DA Warner,PP Shaw,0,0,16,5,16,5
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,DA Warner,J Fraser-McGurk,1,3,9,7,5,4
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,J Fraser-McGurk,Abishek Porel,60,14,84,30,22,16
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,T Stubbs,Abishek Porel,5,4,26,10,20,6
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,T Stubbs,RR Pant,5,7,19,22,14,15
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,Lalit Yadav,RR Pant,7,8,12,16,5,8
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,AR Patel,RR Pant,6,8,33,19,25,11
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,A Nortje,RR Pant,0,2,0,2,0,0
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,Kuldeep Yadav,RR Pant,0,1,0,1,0,0
35th Match (N),Delhi,20-April-2024,20-April-2024,Stats,Mukesh Kumar,RR Pant,0,2,0,3,0,1
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,SP Narine,PD Salt,5,12,56,26,48,14
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,SP Narine,A Raghuvanshi,5,3,10,6,3,3
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,VR Iyer,A Raghuvanshi,9,3,9,4,0,1
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,SS Iyer,VR Iyer,15,9,22,14,7,5
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,SS Iyer,RK Singh,14,13,40,29,24,16
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,AD Russell,SS Iyer,11,13,42,27,21,14
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,AD Russell,Ramandeep Singh,16,7,43,16,24,9
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,F du Plessis,V Kohli,7,6,27,13,18,7
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,F du Plessis,WG Jacks,0,1,8,6,8,5
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,RM Patidar,WG Jacks,52,21,102,48,47,27
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,RM Patidar,C Green,0,2,1,3,0,1
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,C Green,SS Prabhudessai,6,3,13,5,6,2
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,MK Lomror,SS Prabhudessai,4,3,4,3,0,0
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,KD Karthik,SS Prabhudessai,13,10,32,26,18,16
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,KD Karthik,KV Sharma,12,8,15,10,2,2
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,KV Sharma,Mohammed Siraj,18,5,18,5,0,0
36th Match (D/N),Eden Gardens,21-April-2024,21-April-2024,Stats,LH Ferguson,Mohammed Siraj,1,1,1,1,0,0
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,SM Curran,Prabhsimran Singh,15,13,52,34,35,21
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,RR Rossouw,SM Curran,9,7,11,9,2,2
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,SM Curran,JM Sharma,3,4,4,5,1,1
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,LS Livingstone,JM Sharma,6,9,11,15,5,6
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Shashank Singh,JM Sharma,1,3,8,8,7,5
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Shashank Singh,AR Sharma,3,5,6,13,3,8
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Harpreet Singh,Shashank Singh,3,5,7,9,4,4
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Harpreet Singh,Harpreet Brar,9,10,40,22,29,12
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Harpreet Singh,HV Patel,1,1,1,2,0,1
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Harpreet Singh,K Rabada,1,3,2,4,1,1
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,WP Saha,Shubman Gill,13,11,25,22,12,11
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Shubman Gill,B Sai Sudharsan,23,18,41,35,16,17
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,DA Miller,B Sai Sudharsan,4,6,11,14,6,8
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,Azmatullah Omarzai,B Sai Sudharsan,11,8,20,17,9,9
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,R Tewatia,Azmatullah Omarzai,4,2,6,4,2,2
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,R Tewatia,M Shahrukh Khan,27,13,35,17,8,4
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,R Tewatia,Rashid Khan,1,2,4,5,3,3
37th Match (N),Mullanpur,21-April-2024,21-April-2024,Stats,R Tewatia,R Sai Kishore,4,1,4,1,0,0
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,RG Sharma,Ishan Kishan,6,5,6,5,0,0
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,SA Yadav,Ishan Kishan,0,1,0,4,0,3
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,SA Yadav,NT Tilak Varma,10,7,14,10,3,3
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,Mohammad Nabi,NT Tilak Varma,23,17,32,26,6,9
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,N Wadhera,NT Tilak Varma,49,24,99,52,47,28
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,HH Pandya,NT Tilak Varma,10,10,19,13,8,3
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,TH David,NT Tilak Varma,3,3,6,5,1,2
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,G Coetzee,TH David,0,1,0,1,0,0
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,PP Chawla,TH David,1,1,1,3,0,2
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,PP Chawla,JJ Bumrah,0,0,2,1,2,1
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,JC Buttler,YBK Jaiswal,35,25,74,48,37,23
38th Match (N),Jaipur,22-April-2024,22-April-2024,Stats,SV Samson,YBK Jaiswal,38,28,109,65,67,37
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,AM Rahane,RD Gaikwad,1,3,4,6,3,3
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,DJ Mitchell,RD Gaikwad,11,10,45,26,34,16
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,RA Jadeja,RD Gaikwad,16,19,52,39,34,20
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,S Dube,RD Gaikwad,66,27,104,47,36,20
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,MS Dhoni,RD Gaikwad,4,1,5,2,1,1
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,Q de Kock,KL Rahul,0,3,0,3,0,0
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,MP Stoinis,KL Rahul,16,11,33,25,16,14
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,MP Stoinis,D Padikkal,38,20,55,39,13,19
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,MP Stoinis,N Pooran,34,19,70,34,34,15
39th Match (N),Chennai,23-April-2024,23-April-2024,Stats,MP Stoinis,DJ Hooda,36,13,55,19,17,6
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,PP Shaw,J Fraser-McGurk,11,6,35,20,23,14
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,AR Patel,PP Shaw,1,2,1,3,0,1
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,AR Patel,SD Hope,3,5,8,11,5,6
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,AR Patel,RR Pant,62,36,113,68,48,32
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,T Stubbs,RR Pant,26,7,67,18,40,11
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,WP Saha,Shubman Gill,6,4,13,9,6,5
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,WP Saha,B Sai Sudharsan,33,21,82,49,48,28
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,Azmatullah Omarzai,B Sai Sudharsan,1,2,3,3,2,1
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,DA Miller,B Sai Sudharsan,8,5,23,15,15,10
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,DA Miller,M Shahrukh Khan,10,4,18,9,8,5
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,DA Miller,R Tewatia,9,6,13,11,4,5
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,DA Miller,Rashid Khan,28,8,29,9,1,1
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,Rashid Khan,R Sai Kishore,6,4,25,10,13,6
40th Match (N),Delhi,24-April-2024,24-April-2024,Stats,MM Sharma,Rashid Khan,0,0,14,6,14,6
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,F du Plessis,V Kohli,25,12,48,23,23,11
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,V Kohli,WG Jacks,11,10,17,19,6,9
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,V Kohli,RM Patidar,14,14,65,34,50,20
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,V Kohli,C Green,3,8,10,13,5,5
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,MK Lomror,C Green,7,4,21,10,13,6
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,KD Karthik,C Green,11,6,32,14,18,8
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,Swapnil Singh,C Green,12,6,13,7,1,1
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,TM Head,Abhishek Sharma,1,3,3,6,2,3
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,AK Markram,Abhishek Sharma,3,6,34,16,29,10
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,AK Markram,K Nitish Kumar Reddy,4,2,4,4,0,2
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,H Klaasen,K Nitish Kumar Reddy,7,3,15,5,7,2
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,Shahbaz Ahmed,K Nitish Kumar Reddy,6,5,13,14,6,9
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,Shahbaz Ahmed,Abdul Samad,6,5,16,11,10,6
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,PJ Cummins,Shahbaz Ahmed,31,15,39,24,7,9
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,B Kumar,Shahbaz Ahmed,13,13,17,16,3,3
41st Match (N),Hyderabad,25-April-2024,25-April-2024,Stats,JD Unadkat,Shahbaz Ahmed,8,10,30,25,18,15
42nd Match (N),Eden Gardens,26-April-2024,26-April-2024,Stats,SP Narine,PD Salt,71,32,138,63,60,31
42nd Match (N),Eden Gardens,26-April-2024,26-April-2024,Stats,PD Salt,VR Iyer,15,6,25,13,9,7
42nd Match (N),Eden Gardens,26-April-2024,26-April-2024,Stats,AD Russell,VR Iyer,24,12,40,18,13,6
42nd Match (N),Eden Gardens,26-April-2024,26-April-2024,Stats,SS Iyer,VR Iyer,28,10,43,18,15,8
42nd Match (N),Eden Gardens,26-April-2024,26-April-2024,Stats,RK Singh,VR Iyer,5,4,7,5,2,1
