Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
32nd match (D/N),Hyderabad,11-May-2008,11-May-2008,KKR,DCH,204,4,181,7,205,20,20,20,20,KKR won by 23 runs
33rd match (N),Jaipur,11-May-2008,11-May-2008,DC,RR,156,7,159,7,157,20,19.1,20,20,RR won by 3 wickets (with 5 balls remaining)
34th match (N),Mohali,12-May-2008,12-May-2008,RCB,KXIP,143,8,144,1,144,20,15.4,20,20,Kings XI won by 9 wickets (with 26 balls remaining)
35th match (N),Eden Gardens,13-May-2008,13-May-2008,KKR,DC,133,6,110,10,134,20,17.5,20,20,KKR won by 23 runs
36th match (N),Wankhede,14-May-2008,14-May-2008,CSK,MI,156,6,158,1,157,20,13.5,20,20,MI won by 9 wickets (with 37 balls remaining)
37th match (N),Delhi,15-May-2008,15-May-2008,DC,DCH,194,4,182,9,195,20,20,20,20,Daredevils won by 12 runs
38th match (N),Wankhede,16-May-2008,16-May-2008,KKR,MI,67,10,68,2,68,15.2,5.3,20,20,MI won by 8 wickets (with 87 balls remaining)
39th match (D/N),Jaipur,17-May-2008,17-May-2008,RR,RCB,197,1,132,9,198,20,20,20,20,RR won by 65 runs
40th match (N),Delhi,17-May-2008,17-May-2008,DC,KXIP,11,10,94,3,12,11,8,11,8,Kings XI won by 6 runs (D/L method)
41st match (D/N),Eden Gardens,18-May-2008,18-May-2008,KKR,CSK,149,5,55,0,150,20,8,20,8,CSK won by 3 runs (D/L method)
42nd match (N),Hyderabad,18-May-2008,18-May-2008,MI,DCH,178,7,153,7,179,20,20,20,20,MI won by 25 runs
43rd match (N),Bengaluru,19-May-2008,19-May-2008,RCB,DC,154,7,158,5,155,20,18.2,20,20,Daredevils won by 5 wickets (with 10 balls remaining)
44th match (N),Eden Gardens,20-May-2008,20-May-2008,KKR,RR,147,8,150,4,148,20,16.3,20,20,RR won by 6 wickets (with 21 balls remaining)
45th match (D/N),Wankhede,21-May-2008,21-May-2008,KXIP,MI,189,4,188,10,190,20,20,20,20,Kings XI won by 1 run
46th match (N),Chennai,21-May-2008,21-May-2008,RCB,CSK,126,8,112,8,127,20,20,20,20,RCB won by 14 runs
48th match (N),Mohali,23-May-2008,23-May-2008,DCH,KXIP,175,4,178,4,176,20,19.3,20,20,Kings XI won by 6 wickets (with 3 balls remaining)
49th match (D/N),Chennai,24-May-2008,24-May-2008,RR,CSK,211,5,201,7,212,20,20,20,20,RR won by 10 runs
50th match (N),Delhi,24-May-2008,24-May-2008,MI,DC,176,8,179,5,177,20,19.5,20,20,Daredevils won by 5 wickets (with 1 ball remaining)
51st match (D/N),Hyderabad,25-May-2008,25-May-2008,DCH,RCB,165,10,171,5,166,20,19,20,20,RCB won by 5 wickets (with 6 balls remaining)
52nd match (N),Eden Gardens,25-May-2008,25-May-2008,KXIP,KKR,174,6,175,7,175,20,19.4,20,20,KKR won by 3 wickets (with 2 balls remaining)
53rd match (N),Jaipur,26-May-2008,26-May-2008,MI,RR,145,7,146,5,146,20,20,20,20,RR won by 5 wickets (with 0 balls remaining)
54th match (N),Hyderabad,27-May-2008,27-May-2008,DCH,CSK,147,8,148,3,148,20,19.2,20,20,CSK won by 7 wickets (with 4 balls remaining)
55th match (D/N),Bengaluru,28-May-2008,28-May-2008,RCB,MI,18,10,126,1,19,18,16,18,18,MI won by 9 wickets (with 12 balls remaining)
56th match (N),Mohali,28-May-2008,28-May-2008,KXIP,RR,221,3,180,7,222,20,20,20,20,Kings XI won by 41 runs
1st Semi-Final (N),Wankhede,30-May-2008,30-May-2008,RR,DC,192,9,87,10,193,20,16.1,20,20,RR won by 105 runs
2nd Semi-Final (N),Wankhede,31-May-2008,31-May-2008,KXIP,CSK,112,8,116,1,113,20,14.5,20,20,CSK won by 9 wickets (with 31 balls remaining)
Final (N),DY Patil,01-June-2008,01-June-2008,CSK,RR,163,5,164,7,164,20,20,20,20,RR won by 3 wickets (with 0 balls remaining)
1st match,Cape Town,18-April-2009,18-April-2009,MI,CSK,165,7,146,7,166,20,20,20,20,MI won by 19 runs
2nd match (D/N),Cape Town,18-April-2009,18-April-2009,RCB,RR,133,8,58,10,134,20,15.1,20,20,RCB won by 75 runs
3rd match,Cape Town,19-April-2009,19-April-2009,KXIP,DC,12,10,58,0,13,12,4.5,12,6,Daredevils won by 10 wickets (with 7 balls remaining) (D/L method)
4th match (D/N),Cape Town,19-April-2009,19-April-2009,KKR,DCH,101,10,104,2,102,19.4,13.1,20,20,Chargers won by 8 wickets (with 41 balls remaining)
5th match (D/N),Gqeberha,20-April-2009,20-April-2009,CSK,RCB,179,5,87,10,180,20,15.2,20,20,CSK won by 92 runs
6th match,Durban,21-April-2009,21-April-2009,KXIP,KKR,158,6,79,1,159,20,9.2,20,2,KKR won by 11 runs (D/L method)
8th match (D/N),Cape Town,22-April-2009,22-April-2009,DCH,RCB,184,6,160,8,185,20,20,20,20,Chargers won by 24 runs
9th match,Durban,23-April-2009,23-April-2009,DC,CSK,189,5,180,9,190,20,20,20,20,Daredevils won by 9 runs
10th match (D/N),Cape Town,23-April-2009,23-April-2009,RR,KKR,150,6,150,8,151,20,20,20,20,Match tied (RR won the one-over eliminator)
11th match (D/N),Durban,24-April-2009,24-April-2009,RCB,KXIP,168,9,173,3,169,20,19,20,20,Kings XI won by 7 wickets (with 6 balls remaining)
12th match,Durban,25-April-2009,25-April-2009,DCH,MI,168,9,156,7,169,20,20,20,20,Chargers won by 12 runs
14th match,Gqeberha,26-April-2009,26-April-2009,RCB,DC,149,7,150,4,150,20,19.2,20,20,Daredevils won by 6 wickets (with 4 balls remaining)
15th match (D/N),Cape Town,26-April-2009,26-April-2009,KXIP,RR,139,6,112,7,140,20,20,20,20,Kings XI won by 27 runs
16th match,Durban,27-April-2009,27-April-2009,CSK,DCH,165,6,169,4,166,20,19.3,20,20,Chargers won by 6 wickets (with 3 balls remaining)
17th match (D/N),Gqeberha,27-April-2009,27-April-2009,MI,KKR,187,6,95,10,188,20,15.2,20,20,MI won by 92 runs
18th match (D/N),Centurion,28-April-2009,28-April-2009,DC,RR,143,7,147,5,144,20,18.3,20,20,RR won by 5 wickets (with 9 balls remaining)
19th match,Durban,29-April-2009,29-April-2009,KKR,RCB,139,6,143,5,140,20,19.5,20,20,RCB won by 5 wickets (with 1 ball remaining)
20th match (D/N),Durban,29-April-2009,29-April-2009,KXIP,MI,119,8,116,7,120,20,20,20,20,Kings XI won by 3 runs
21st match,Centurion,30-April-2009,30-April-2009,DCH,DC,148,9,150,4,149,20,18.4,20,20,Daredevils won by 6 wickets (with 8 balls remaining)
22nd match (D/N),Centurion,30-April-2009,30-April-2009,CSK,RR,164,5,126,10,165,20,19.3,20,20,CSK won by 38 runs
23rd match,East London,01-May-2009,01-May-2009,MI,KKR,148,6,139,6,149,20,20,20,20,MI won by 9 runs
24th match (D/N),Durban,01-May-2009,01-May-2009,RCB,KXIP,145,9,137,7,146,20,20,20,20,RCB won by 8 runs
25th match,Gqeberha,02-May-2009,02-May-2009,DCH,RR,141,5,142,7,142,20,19.4,20,20,RR won by 3 wickets (with 2 balls remaining)
26th match (D/N),Johannesburg,02-May-2009,02-May-2009,CSK,DC,163,10,145,8,164,20,20,20,20,CSK won by 18 runs
27th match,Gqeberha,03-May-2009,03-May-2009,KKR,KXIP,153,3,154,4,154,20,20,20,20,Kings XI won by 6 wickets (with 0 balls remaining)
28th match (D/N),Johannesburg,03-May-2009,03-May-2009,MI,RCB,149,4,150,1,150,20,18.1,20,20,RCB won by 9 wickets (with 11 balls remaining)
