Inning,Venue,Team,Start Date,End Date,Bowling_Player,Wickets,M,R,W,ECON,0s,4s,6s,WD,NB
40th match (N),Delhi,DC,17-May-2008,17-May-2008,Piyush Chawla,1,0,13,0,1300,1,1,1,0,0
40th match (N),Delhi,DC,17-May-2008,17-May-2008,James Hopes,1,0,2,2,200,4,0,0,0,0
40th match (N),Delhi,KXIP,17-May-2008,17-May-2008,Glenn McGrath,2,0,18,1,900,4,0,2,0,0
40th match (N),Delhi,KXIP,17-May-2008,17-May-2008,Pradeep Sangwan,1,0,12,1,1200,3,1,1,1,0
40th match (N),Delhi,KXIP,17-May-2008,17-May-2008,Amit Mishra,2,0,21,1,1050,2,0,2,0,0
40th match (N),Delhi,KXIP,17-May-2008,17-May-2008,Virender Sehwag,1,0,22,0,2200,0,3,1,1,0
40th match (N),Delhi,KXIP,17-May-2008,17-May-2008,Farveez Maharoof,1,0,11,0,1100,1,0,1,0,0
40th match (N),Delhi,KXIP,17-May-2008,17-May-2008,Rajat Bhatia,1,0,8,0,800,3,0,1,0,0
41st match (D/N),Eden Gardens,KKR,18-May-2008,18-May-2008,Makhaya Ntini,4,0,21,4,525,17,4,0,0,1
41st match (D/N),Eden Gardens,KKR,18-May-2008,18-May-2008,Manpreet Gony,4,0,17,0,425,14,2,0,0,0
41st match (D/N),Eden Gardens,KKR,18-May-2008,18-May-2008,Muthiah Muralidaran,4,0,41,0,1025,9,3,3,0,0
41st match (D/N),Eden Gardens,KKR,18-May-2008,18-May-2008,Lakshmipathy Balaji,4,0,36,1,900,4,4,0,2,0
41st match (D/N),Eden Gardens,KKR,18-May-2008,18-May-2008,Albie Morkel,4,0,25,0,625,10,2,0,1,0
41st match (D/N),Eden Gardens,CSK,18-May-2008,18-May-2008,Shoaib Akhtar,2,0,14,0,70,7,2,0,2,0
41st match (D/N),Eden Gardens,CSK,18-May-2008,18-May-2008,Ishant Sharma,2,0,16,0,80,5,3,0,0,0
41st match (D/N),Eden Gardens,CSK,18-May-2008,18-May-2008,Ashok Dinda,2,0,10,0,50,5,1,0,0,0
41st match (D/N),Eden Gardens,CSK,18-May-2008,18-May-2008,Ajit Agarkar,2,0,14,0,70,5,2,0,1,0
42nd match (N),Hyderabad,MI,18-May-2008,18-May-2008,Paidikalva Vijaykumar,2,0,24,0,1200,6,2,1,4,1
42nd match (N),Hyderabad,MI,18-May-2008,18-May-2008,Nuwan Zoysa,3,0,37,0,1233,4,5,1,0,1
42nd match (N),Hyderabad,MI,18-May-2008,18-May-2008,Venugopal Rao,3,0,25,2,833,6,2,1,1,0
42nd match (N),Hyderabad,MI,18-May-2008,18-May-2008,RP Singh,4,0,35,3,875,12,4,2,0,0
42nd match (N),Hyderabad,MI,18-May-2008,18-May-2008,Shahid Afridi,4,0,23,2,575,11,1,1,1,0
42nd match (N),Hyderabad,MI,18-May-2008,18-May-2008,Pragyan Ojha,4,0,23,0,575,11,3,0,0,0
42nd match (N),Hyderabad,DCH,18-May-2008,18-May-2008,Ashish Nehra,4,0,29,0,725,11,2,2,0,0
42nd match (N),Hyderabad,DCH,18-May-2008,18-May-2008,Dwayne Bravo,4,0,24,3,600,12,2,1,1,0
42nd match (N),Hyderabad,DCH,18-May-2008,18-May-2008,Dilhara Fernando,4,0,38,2,950,9,2,2,1,1
42nd match (N),Hyderabad,DCH,18-May-2008,18-May-2008,Rohan Raje,2,0,19,0,950,4,3,0,1,0
