Inning,Venue,Team,Start Date,End Date,Bowling_Player,Wickets,M,R,W,ECON,0s,4s,6s,WD,NB
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Brett Lee,4,0,31,0,775,12,3,1,0,2
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Irfan Pathan,3,0,29,2,966,9,4,1,1,0
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Sreesanth,2,0,10,0,500,8,2,0,0,0
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Ramesh Powar,2,0,11,2,550,7,1,0,1,0
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Piyush Chawla,4,0,20,0,500,11,1,0,0,0
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Yuvraj Singh,4,0,13,3,325,15,0,0,0,0
49th match,Johannesburg,DCH,17-May-2009,17-May-2009,Wilkin Mota,1,0,18,0,1800,1,1,2,0,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Munaf Patel,4,0,39,2,975,11,3,2,0,3
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Amit Singh,3,0,23,0,766,6,2,0,0,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Siddharth Trivedi,1,0,9,0,900,3,2,0,0,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Johan Botha,4,0,23,1,575,8,1,0,1,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Shane Warne,4,0,28,0,700,4,0,0,0,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Ravindra Jadeja,2,0,13,0,650,2,1,0,0,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Abhishek Raut,1,0,10,0,1000,2,2,0,0,0
50th match (D/N),Bloemfontein,DC,17-May-2009,17-May-2009,Yusuf Pathan,1,0,4,0,400,2,0,0,0,0
50th match (D/N),Bloemfontein,RR,17-May-2009,17-May-2009,Ashish Nehra,3,0,8,1,266,13,0,0,1,0
50th match (D/N),Bloemfontein,RR,17-May-2009,17-May-2009,Dirk Nannes,4,0,33,1,825,12,6,0,3,0
50th match (D/N),Bloemfontein,RR,17-May-2009,17-May-2009,Aavishkar Salvi,4,0,19,2,475,14,2,0,1,0
50th match (D/N),Bloemfontein,RR,17-May-2009,17-May-2009,Farveez Maharoof,4,0,27,2,675,9,3,0,0,0
50th match (D/N),Bloemfontein,RR,17-May-2009,17-May-2009,Amit Mishra,4,0,33,3,825,7,0,1,0,2
50th match (D/N),Bloemfontein,RR,17-May-2009,17-May-2009,Tillakaratne Dilshan,1,0,10,0,1000,2,2,0,0,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,Ashok Dinda,4,0,29,1,725,13,4,1,0,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,Anureet Singh,1,0,12,0,1200,2,2,0,2,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,Ajit Agarkar,4,0,45,0,1125,7,4,2,5,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,Murali Kartik,3,0,27,0,900,5,3,0,1,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,Brad Hodge,2,0,12,0,600,4,1,0,0,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,Ajantha Mendis,4,0,38,0,950,4,2,2,0,0
51st match (D/N),Centurion,CSK,18-May-2009,18-May-2009,David Hussey,2,0,18,0,900,4,0,1,1,0
51st match (D/N),Centurion,KKR,18-May-2009,18-May-2009,Albie Morkel,3,0,39,0,1300,5,6,1,0,1
51st match (D/N),Centurion,KKR,18-May-2009,18-May-2009,Sudeep Tyagi,3,0,29,0,966,9,5,1,0,0
51st match (D/N),Centurion,KKR,18-May-2009,18-May-2009,Muthiah Muralidaran,4,0,16,1,400,15,2,0,0,0
51st match (D/N),Centurion,KKR,18-May-2009,18-May-2009,Shadab Jakati,4,0,36,1,900,7,0,3,0,0
51st match (D/N),Centurion,KKR,18-May-2009,18-May-2009,Suresh Raina,3,0,25,0,833,4,2,0,0,0
51st match (D/N),Centurion,KKR,18-May-2009,18-May-2009,Lakshmipathy Balaji,3,0,40,0,1333,2,2,3,0,0
52nd match (D/N),Johannesburg,DC,19-May-2009,19-May-2009,Praveen Kumar,4,0,30,3,750,9,1,1,0,0
52nd match (D/N),Johannesburg,DC,19-May-2009,19-May-2009,Jacques Kallis,4,0,17,1,425,11,1,0,0,0
52nd match (D/N),Johannesburg,DC,19-May-2009,19-May-2009,Balachandra Akhil,2,0,20,0,1000,2,3,0,0,0
52nd match (D/N),Johannesburg,DC,19-May-2009,19-May-2009,Roelof van der Merwe,4,0,31,1,775,3,2,0,0,0
52nd match (D/N),Johannesburg,DC,19-May-2009,19-May-2009,Anil Kumble,4,0,24,2,600,7,1,0,2,0
52nd match (D/N),Johannesburg,DC,19-May-2009,19-May-2009,Virat Kohli,2,0,12,0,600,4,0,0,1,0
52nd match (D/N),Johannesburg,RCB,19-May-2009,19-May-2009,Ashish Nehra,4,0,21,1,525,14,2,0,0,1
52nd match (D/N),Johannesburg,RCB,19-May-2009,19-May-2009,Aavishkar Salvi,4,0,30,0,750,13,3,2,0,0
52nd match (D/N),Johannesburg,RCB,19-May-2009,19-May-2009,Farveez Maharoof,2,0,9,0,450,5,0,0,0,0
52nd match (D/N),Johannesburg,RCB,19-May-2009,19-May-2009,Andrew McDonald,3,0,22,0,733,2,1,0,0,0
52nd match (D/N),Johannesburg,RCB,19-May-2009,19-May-2009,Daniel Vettori,4,0,32,0,800,5,2,1,0,0
52nd match (D/N),Johannesburg,RCB,19-May-2009,19-May-2009,Yogesh Nagar,2,0,20,2,1000,3,0,2,0,1
53rd match,Durban,RR,20-May-2009,20-May-2009,Brad Hodge,1,0,22,0,2200,0,0,3,0,0
53rd match,Durban,RR,20-May-2009,20-May-2009,Charl Langeveldt,4,0,15,3,375,16,2,0,1,0
53rd match,Durban,RR,20-May-2009,20-May-2009,Ashok Dinda,4,0,12,0,300,17,1,0,1,0
53rd match,Durban,RR,20-May-2009,20-May-2009,Ajit Agarkar,4,0,15,2,375,16,2,0,0,0
53rd match,Durban,RR,20-May-2009,20-May-2009,Sourav Sarkar,3,0,15,1,500,4,0,0,0,0
53rd match,Durban,RR,20-May-2009,20-May-2009,Laxmi Shukla,4,0,20,0,500,14,2,0,1,0
53rd match,Durban,KKR,20-May-2009,20-May-2009,Munaf Patel,4,0,14,2,350,19,2,0,0,1
53rd match,Durban,KKR,20-May-2009,20-May-2009,Amit Singh,33,0,19,1,542,12,3,0,0,0
53rd match,Durban,KKR,20-May-2009,20-May-2009,Johan Botha,4,0,19,2,475,13,1,1,0,0
53rd match,Durban,KKR,20-May-2009,20-May-2009,Shane Warne,4,0,24,0,600,10,1,1,1,0
53rd match,Durban,KKR,20-May-2009,20-May-2009,Ravindra Jadeja,2,0,13,0,650,5,1,0,0,0
53rd match,Durban,KKR,20-May-2009,20-May-2009,Tyron Henderson,2,0,10,0,500,6,1,0,0,0
54th match (D/N),Durban,CSK,20-May-2009,20-May-2009,Brett Lee,4,0,16,0,400,14,2,0,0,0
54th match (D/N),Durban,CSK,20-May-2009,20-May-2009,Irfan Pathan,4,0,32,2,800,10,4,1,1,0
54th match (D/N),Durban,CSK,20-May-2009,20-May-2009,Ramesh Powar,4,0,19,1,475,11,2,0,0,0
54th match (D/N),Durban,CSK,20-May-2009,20-May-2009,Sreesanth,4,0,23,2,575,13,3,0,1,0
54th match (D/N),Durban,CSK,20-May-2009,20-May-2009,Piyush Chawla,2,0,13,1,650,5,0,1,0,0
54th match (D/N),Durban,CSK,20-May-2009,20-May-2009,Wilkin Mota,2,0,8,1,400,4,0,0,0,0
54th match (D/N),Durban,KXIP,20-May-2009,20-May-2009,Manpreet Gony,2,0,9,0,450,6,1,0,0,0
54th match (D/N),Durban,KXIP,20-May-2009,20-May-2009,Thilan Thushara,4,0,28,2,700,11,1,1,2,0
54th match (D/N),Durban,KXIP,20-May-2009,20-May-2009,Muthiah Muralidaran,4,0,8,2,200,16,0,0,0,0
54th match (D/N),Durban,KXIP,20-May-2009,20-May-2009,Ravichandran Ashwin,4,0,13,2,325,12,0,0,0,0
54th match (D/N),Durban,KXIP,20-May-2009,20-May-2009,Suresh Raina,4,0,17,2,425,12,1,0,1,0
54th match (D/N),Durban,KXIP,20-May-2009,20-May-2009,Lakshmipathy Balaji,2,0,14,0,700,6,2,0,0,0
55th match,Centurion,MI,21-May-2009,21-May-2009,Dirk Nannes,4,0,27,3,675,13,4,0,4,0
55th match,Centurion,MI,21-May-2009,21-May-2009,Aavishkar Salvi,4,0,27,1,675,11,2,1,2,0
55th match,Centurion,MI,21-May-2009,21-May-2009,Pradeep Sangwan,4,0,28,2,700,14,4,0,3,0
55th match,Centurion,MI,21-May-2009,21-May-2009,Amit Mishra,4,0,42,0,1050,5,5,1,0,1
55th match,Centurion,MI,21-May-2009,21-May-2009,Rajat Bhatia,4,0,29,1,725,9,3,0,1,0
55th match,Centurion,DC,21-May-2009,21-May-2009,Lasith Malinga,4,0,38,1,950,9,3,2,1,1
55th match,Centurion,DC,21-May-2009,21-May-2009,Dhawal Kulkarni,3,0,36,1,1200,5,6,1,0,0
55th match,Centurion,DC,21-May-2009,21-May-2009,Rahil Shaikh,1,0,11,0,1100,1,2,0,0,0
55th match,Centurion,DC,21-May-2009,21-May-2009,Harbhajan Singh,4,0,17,4,425,12,1,0,1,0
55th match,Centurion,DC,21-May-2009,21-May-2009,Abhishek Nayar,2,0,25,0,1250,3,3,1,0,0
55th match,Centurion,DC,21-May-2009,21-May-2009,Sanath Jayasuriya,2,0,25,0,1250,2,1,1,2,0
55th match,Centurion,DC,21-May-2009,21-May-2009,JeanPaul Duminy,13,0,14,0,933,4,1,1,0,0
56th match (D/N),Centurion,RCB,21-May-2009,21-May-2009,Ryan Harris,4,0,25,0,625,11,2,0,0,0
56th match (D/N),Centurion,RCB,21-May-2009,21-May-2009,RP Singh,4,0,47,1,1175,8,4,3,0,0
56th match (D/N),Centurion,RCB,21-May-2009,21-May-2009,Andrew Symonds,4,0,15,1,375,10,0,0,0,0
56th match (D/N),Centurion,RCB,21-May-2009,21-May-2009,Jaskaran Singh,3,0,32,0,1066,8,4,1,1,0
56th match (D/N),Centurion,RCB,21-May-2009,21-May-2009,Pragyan Ojha,4,0,32,2,800,8,3,1,0,0
56th match (D/N),Centurion,RCB,21-May-2009,21-May-2009,Tirumalasetti Suman,1,0,18,0,1800,1,0,2,0,0
56th match (D/N),Centurion,DCH,21-May-2009,21-May-2009,Anil Kumble,4,0,23,2,575,13,4,0,0,0
56th match (D/N),Centurion,DCH,21-May-2009,21-May-2009,Jacques Kallis,1,0,8,0,800,2,1,0,0,0
56th match (D/N),Centurion,DCH,21-May-2009,21-May-2009,Praveen Kumar,4,0,45,0,1125,7,4,2,1,0
56th match (D/N),Centurion,DCH,21-May-2009,21-May-2009,Roelof van der Merwe,4,0,32,1,800,8,1,2,2,0
56th match (D/N),Centurion,DCH,21-May-2009,21-May-2009,Balachandra Akhil,4,0,18,2,450,8,0,0,1,0
56th match (D/N),Centurion,DCH,21-May-2009,21-May-2009,Virat Kohli,3,0,25,0,833,3,0,1,2,0
1st Semi-Final (D/N),Centurion,DC,22-May-2009,22-May-2009,Ryan Harris,4,1,27,3,675,15,2,1,1,1
1st Semi-Final (D/N),Centurion,DC,22-May-2009,22-May-2009,RP Singh,4,0,33,2,825,11,4,1,2,0
1st Semi-Final (D/N),Centurion,DC,22-May-2009,22-May-2009,Pragyan Ojha,3,0,27,0,900,5,3,1,0,0
1st Semi-Final (D/N),Centurion,DC,22-May-2009,22-May-2009,Andrew Symonds,3,0,20,1,666,9,3,0,0,0
1st Semi-Final (D/N),Centurion,DC,22-May-2009,22-May-2009,Harmeet Singh,3,0,15,0,500,7,1,0,0,0
1st Semi-Final (D/N),Centurion,DC,22-May-2009,22-May-2009,Rohit Sharma,3,0,26,0,866,1,0,1,1,0
1st Semi-Final (D/N),Centurion,DCH,22-May-2009,22-May-2009,Dirk Nannes,3,0,38,0,1266,4,7,0,2,0
1st Semi-Final (D/N),Centurion,DCH,22-May-2009,22-May-2009,Ashish Nehra,4,0,38,1,950,8,4,1,1,1
1st Semi-Final (D/N),Centurion,DCH,22-May-2009,22-May-2009,Pradeep Sangwan,24,0,21,0,787,7,2,1,1,0
1st Semi-Final (D/N),Centurion,DCH,22-May-2009,22-May-2009,Tillakaratne Dilshan,3,0,13,0,433,8,1,0,0,0
1st Semi-Final (D/N),Centurion,DCH,22-May-2009,22-May-2009,Virender Sehwag,1,0,25,0,2500,1,1,3,0,1
1st Semi-Final (D/N),Centurion,DCH,22-May-2009,22-May-2009,Amit Mishra,4,0,19,3,475,13,0,1,0,0
2nd Semi-Final (D/N),Johannesburg,CSK,23-May-2009,23-May-2009,Praveen Kumar,4,0,26,1,650,10,2,1,0,0
2nd Semi-Final (D/N),Johannesburg,CSK,23-May-2009,23-May-2009,Jacques Kallis,4,0,26,1,650,12,4,0,1,0
2nd Semi-Final (D/N),Johannesburg,CSK,23-May-2009,23-May-2009,Vinay Kumar,4,0,38,2,950,9,4,2,0,0
2nd Semi-Final (D/N),Johannesburg,CSK,23-May-2009,23-May-2009,Anil Kumble,4,0,30,0,750,6,1,1,0,0
2nd Semi-Final (D/N),Johannesburg,CSK,23-May-2009,23-May-2009,Roelof van der Merwe,4,0,23,1,575,6,0,0,2,0
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Albie Morkel,3,0,26,1,866,7,4,0,0,0
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Manpreet Gony,2,0,23,1,1150,6,5,0,0,1
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Shadab Jakati,4,0,29,1,725,10,4,0,0,0
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Suresh Raina,3,0,23,0,766,6,0,2,0,0
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Muthiah Muralidaran,4,0,15,1,375,15,0,1,0,0
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Lakshmipathy Balaji,2,0,16,0,800,4,2,0,0,0
2nd Semi-Final (D/N),Johannesburg,RCB,23-May-2009,23-May-2009,Jacob Oram,05,0,14,0,1680,1,1,1,0,1
Final (D/N),Johannesburg,DCH,24-May-2009,24-May-2009,Anil Kumble,4,0,16,4,400,14,1,0,0,0
Final (D/N),Johannesburg,DCH,24-May-2009,24-May-2009,Praveen Kumar,4,0,43,0,1075,8,1,3,5,0
Final (D/N),Johannesburg,DCH,24-May-2009,24-May-2009,Jacques Kallis,4,0,24,0,600,12,4,0,0,0
Final (D/N),Johannesburg,DCH,24-May-2009,24-May-2009,Vinay Kumar,4,0,30,2,750,7,1,0,1,0
Final (D/N),Johannesburg,DCH,24-May-2009,24-May-2009,Roelof van der Merwe,4,0,28,0,700,8,2,1,0,0
Final (D/N),Johannesburg,RCB,24-May-2009,24-May-2009,Ryan Harris,4,1,34,1,850,15,3,3,1,0
Final (D/N),Johannesburg,RCB,24-May-2009,24-May-2009,RP Singh,4,0,16,1,400,13,1,0,0,0
Final (D/N),Johannesburg,RCB,24-May-2009,24-May-2009,Andrew Symonds,3,0,18,2,600,8,0,1,0,0
Final (D/N),Johannesburg,RCB,24-May-2009,24-May-2009,Pragyan Ojha,4,0,28,3,700,10,2,1,0,0
Final (D/N),Johannesburg,RCB,24-May-2009,24-May-2009,Harmeet Singh,4,0,23,2,575,13,4,0,0,0
Final (D/N),Johannesburg,RCB,24-May-2009,24-May-2009,Rohit Sharma,1,0,9,0,900,0,0,0,0,0
1st match (N),DY Patil,KKR,12-March-2010,12-March-2010,Chaminda Vaas,3,1,22,2,733,12,2,2,0,0
1st match (N),DY Patil,KKR,12-March-2010,12-March-2010,RP Singh,4,0,35,1,875,12,3,2,3,0
1st match (N),DY Patil,KKR,12-March-2010,12-March-2010,Jaskaran Singh,4,0,35,1,875,10,3,2,1,0
1st match (N),DY Patil,KKR,12-March-2010,12-March-2010,Pragyan Ojha,4,0,19,0,475,12,2,0,0,0
1st match (N),DY Patil,KKR,12-March-2010,12-March-2010,Andrew Symonds,4,0,26,0,650,8,0,1,2,0
1st match (N),DY Patil,KKR,12-March-2010,12-March-2010,Tirumalasetti Suman,1,0,16,0,1600,1,1,1,0,1
1st match (N),DY Patil,DCH,12-March-2010,12-March-2010,Charl Langeveldt,4,0,26,2,650,11,1,1,3,0
1st match (N),DY Patil,DCH,12-March-2010,12-March-2010,Ishant Sharma,4,0,31,1,775,9,4,0,1,1
1st match (N),DY Patil,DCH,12-March-2010,12-March-2010,Laxmi Shukla,3,0,30,1,1000,5,1,2,0,0
1st match (N),DY Patil,DCH,12-March-2010,12-March-2010,Murali Kartik,3,0,17,1,566,9,2,0,0,0
1st match (N),DY Patil,DCH,12-March-2010,12-March-2010,Angelo Mathews,4,0,27,1,675,9,3,0,1,1
1st match (N),DY Patil,DCH,12-March-2010,12-March-2010,Brad Hodge,2,0,14,1,700,4,0,1,0,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Dimitri Mascarenhas,4,0,34,2,850,7,5,0,0,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Shaun Tait,4,0,46,1,1150,10,7,0,6,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Kamran Khan,1,0,10,0,1000,3,0,1,0,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Amit Uniyal,4,0,41,2,1025,6,4,1,2,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Shane Warne,3,0,29,0,966,5,3,1,1,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Abhishek Jhunjhunwala,2,0,27,0,1350,3,4,1,0,0
2nd match (D/N),Brabourne,MI,13-March-2010,13-March-2010,Yusuf Pathan,2,0,22,0,1100,2,0,2,0,0
2nd match (D/N),Brabourne,RR,13-March-2010,13-March-2010,Zaheer Khan,4,0,27,0,675,9,3,0,1,0
2nd match (D/N),Brabourne,RR,13-March-2010,13-March-2010,Ryan McLaren,4,0,43,0,1075,7,6,1,2,0
2nd match (D/N),Brabourne,RR,13-March-2010,13-March-2010,Lasith Malinga,4,0,22,2,550,9,1,0,1,0
2nd match (D/N),Brabourne,RR,13-March-2010,13-March-2010,Ali Murtaza,4,0,46,1,1150,7,2,4,0,0
2nd match (D/N),Brabourne,RR,13-March-2010,13-March-2010,Rajagopal Sathish,3,0,51,1,1700,3,5,4,1,0
2nd match (D/N),Brabourne,RR,13-March-2010,13-March-2010,Sanath Jayasuriya,1,0,19,0,1900,0,1,2,0,0
3rd match (N),Mohali,KXIP,13-March-2010,13-March-2010,Dirk Nannes,4,0,12,2,300,18,1,0,2,0
3rd match (N),Mohali,KXIP,13-March-2010,13-March-2010,Farveez Maharoof,4,0,37,2,925,11,2,2,2,0
3rd match (N),Mohali,KXIP,13-March-2010,13-March-2010,Pradeep Sangwan,4,0,32,1,800,11,5,0,0,0
3rd match (N),Mohali,KXIP,13-March-2010,13-March-2010,Amit Mishra,4,0,23,1,575,10,3,0,0,0
3rd match (N),Mohali,KXIP,13-March-2010,13-March-2010,Yo Mahesh,3,0,23,1,766,5,2,0,1,0
3rd match (N),Mohali,KXIP,13-March-2010,13-March-2010,Tillakaratne Dilshan,1,0,7,1,700,2,1,0,0,0
3rd match (N),Mohali,DC,13-March-2010,13-March-2010,Irfan Pathan,35,0,27,1,704,12,4,0,2,0
3rd match (N),Mohali,DC,13-March-2010,13-March-2010,Sreesanth,4,0,24,2,600,10,3,0,0,0
3rd match (N),Mohali,DC,13-March-2010,13-March-2010,Yusuf Abdulla,4,0,30,1,750,10,3,1,0,0
3rd match (N),Mohali,DC,13-March-2010,13-March-2010,Piyush Chawla,4,0,33,0,825,7,4,0,0,0
3rd match (N),Mohali,DC,13-March-2010,13-March-2010,Yuvraj Singh,3,0,11,0,366,7,0,0,0,0
3rd match (N),Mohali,DC,13-March-2010,13-March-2010,Ramesh Powar,1,0,16,0,1600,0,2,0,0,0
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Charl Langeveldt,4,0,27,1,675,10,4,0,0,0
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Ishant Sharma,4,0,27,0,675,12,2,1,1,0
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Angelo Mathews,4,0,19,4,475,11,2,0,0,0
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Murali Kartik,4,0,22,2,550,10,2,0,0,1
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Brad Hodge,1,0,11,0,1100,1,0,1,0,0
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Sourav Ganguly,2,0,18,0,900,1,2,0,0,0
4th match (D/N),Eden Gardens,RCB,14-March-2010,14-March-2010,Rohan Gavaskar,1,0,8,0,800,2,1,0,0,0
4th match (D/N),Eden Gardens,KKR,14-March-2010,14-March-2010,Praveen Kumar,4,0,16,1,400,12,1,0,0,0
4th match (D/N),Eden Gardens,KKR,14-March-2010,14-March-2010,Jacques Kallis,3,0,34,0,1133,5,4,1,0,0
4th match (D/N),Eden Gardens,KKR,14-March-2010,14-March-2010,Dale Steyn,4,0,38,0,950,11,4,2,2,0
4th match (D/N),Eden Gardens,KKR,14-March-2010,14-March-2010,Anil Kumble,4,0,19,0,475,14,3,0,0,0
4th match (D/N),Eden Gardens,KKR,14-March-2010,14-March-2010,Roelof van der Merwe,4,0,27,2,675,8,2,0,3,0
4th match (D/N),Eden Gardens,KKR,14-March-2010,14-March-2010,Virat Kohli,02,0,1,0,300,1,0,0,0,0
5th match (N),Chennai,DCH,14-March-2010,14-March-2010,Albie Morkel,4,0,41,0,1025,8,4,2,1,0
5th match (N),Chennai,DCH,14-March-2010,14-March-2010,Sudeep Tyagi,15,0,39,0,2127,1,4,3,0,2
5th match (N),Chennai,DCH,14-March-2010,14-March-2010,Muthiah Muralidaran,4,0,28,0,700,12,2,1,4,0
5th match (N),Chennai,DCH,14-March-2010,14-March-2010,Ravichandran Ashwin,4,0,26,1,650,10,3,0,2,0
5th match (N),Chennai,DCH,14-March-2010,14-March-2010,Lakshmipathy Balaji,4,0,36,0,900,9,3,2,1,0
5th match (N),Chennai,DCH,14-March-2010,14-March-2010,Justin Kemp,21,0,15,0,692,6,2,0,1,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,Chaminda Vaas,4,1,21,3,525,13,1,1,0,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,Rohit Sharma,4,0,27,1,675,10,0,2,0,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,RP Singh,3,0,30,1,1000,6,2,2,2,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,Pragyan Ojha,4,0,28,2,700,8,0,2,0,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,Jaskaran Singh,1,0,16,0,1600,2,3,0,1,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,Tirumalasetti Suman,1,0,8,0,800,1,1,0,0,0
5th match (N),Chennai,CSK,14-March-2010,14-March-2010,Andrew Symonds,3,0,29,2,966,4,0,3,0,0
6th match (N),Ahmedabad,RR,15-March-2010,15-March-2010,Farveez Maharoof,4,0,32,1,800,10,5,0,1,0
6th match (N),Ahmedabad,RR,15-March-2010,15-March-2010,Dirk Nannes,4,0,27,1,675,11,4,0,1,0
6th match (N),Ahmedabad,RR,15-March-2010,15-March-2010,Amit Mishra,4,0,34,1,850,9,2,2,0,0
6th match (N),Ahmedabad,RR,15-March-2010,15-March-2010,Pradeep Sangwan,4,0,20,1,500,13,2,0,2,0
6th match (N),Ahmedabad,RR,15-March-2010,15-March-2010,Sarabjit Ladda,4,0,28,0,700,11,1,2,1,0
6th match (N),Ahmedabad,DC,15-March-2010,15-March-2010,Dimitri Mascarenhas,4,0,31,2,775,10,3,1,0,0
6th match (N),Ahmedabad,DC,15-March-2010,15-March-2010,Shaun Tait,4,0,26,0,650,13,3,0,4,0
6th match (N),Ahmedabad,DC,15-March-2010,15-March-2010,Munaf Patel,3,0,32,1,1066,6,3,2,0,0
6th match (N),Ahmedabad,DC,15-March-2010,15-March-2010,Amit Uniyal,2,0,25,0,1250,3,2,2,0,0
6th match (N),Ahmedabad,DC,15-March-2010,15-March-2010,Shane Warne,4,0,22,1,550,6,1,0,0,0
6th match (N),Ahmedabad,DC,15-March-2010,15-March-2010,Abhishek Jhunjhunwala,01,0,2,0,1200,0,0,0,0,0
7th match (D/N),Bengaluru,KXIP,16-March-2010,16-March-2010,Praveen Kumar,4,0,43,1,1075,10,6,1,4,0
7th match (D/N),Bengaluru,KXIP,16-March-2010,16-March-2010,Dale Steyn,4,0,36,1,900,8,4,0,2,0
7th match (D/N),Bengaluru,KXIP,16-March-2010,16-March-2010,Jacques Kallis,4,0,39,1,975,9,4,2,1,0
7th match (D/N),Bengaluru,KXIP,16-March-2010,16-March-2010,Anil Kumble,4,0,40,0,1000,7,2,3,1,0
7th match (D/N),Bengaluru,KXIP,16-March-2010,16-March-2010,Vinay Kumar,2,0,19,0,950,3,1,1,1,0
7th match (D/N),Bengaluru,KXIP,16-March-2010,16-March-2010,Virat Kohli,2,0,23,0,1150,2,3,0,0,1
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Irfan Pathan,3,0,33,0,1100,7,4,2,0,0
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Sreesanth,3,0,38,0,1266,6,2,3,3,1
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Yusuf Abdulla,25,0,36,0,1270,4,4,2,1,0
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Piyush Chawla,3,0,20,1,666,6,2,0,0,0
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Yuvraj Singh,2,0,18,0,900,5,0,2,0,0
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Bipul Sharma,3,0,37,1,1233,5,2,3,0,0
7th match (D/N),Bengaluru,RCB,16-March-2010,16-March-2010,Ravi Bopara,2,0,17,0,850,4,1,1,0,0
8th match (N),Eden Gardens,CSK,16-March-2010,16-March-2010,Shane Bond,4,0,33,0,825,10,4,1,0,0
8th match (N),Eden Gardens,CSK,16-March-2010,16-March-2010,Ishant Sharma,4,0,38,1,950,9,5,1,0,0
8th match (N),Eden Gardens,CSK,16-March-2010,16-March-2010,Angelo Mathews,3,0,29,0,966,2,2,1,0,0
8th match (N),Eden Gardens,CSK,16-March-2010,16-March-2010,Laxmi Shukla,4,0,37,1,925,8,5,1,0,0
8th match (N),Eden Gardens,CSK,16-March-2010,16-March-2010,Murali Kartik,4,0,21,0,525,10,0,0,1,0
8th match (N),Eden Gardens,CSK,16-March-2010,16-March-2010,Brad Hodge,1,0,4,1,400,3,0,0,0,0
8th match (N),Eden Gardens,KKR,16-March-2010,16-March-2010,Albie Morkel,2,1,6,1,300,10,1,0,1,0
8th match (N),Eden Gardens,KKR,16-March-2010,16-March-2010,Manpreet Gony,3,0,33,1,1100,7,7,0,0,0
8th match (N),Eden Gardens,KKR,16-March-2010,16-March-2010,Lakshmipathy Balaji,22,0,9,2,385,8,1,0,0,0
8th match (N),Eden Gardens,KKR,16-March-2010,16-March-2010,Muthiah Muralidaran,4,0,16,1,400,13,1,0,1,0
8th match (N),Eden Gardens,KKR,16-March-2010,16-March-2010,Justin Kemp,3,0,12,3,400,10,1,0,1,0
